0 net/mask prefixes, 40323 AS numbers, 84193 AS interconnections

Sorted by interconnections:
AS	Count
======= ========
174	3398
3356	3188
7018	2443
6939	2158
701	1886
3549	1542
4323	1440
209	1374
9002	1106
1239	1029
2828	972
13030	951
3257	877
31500	875
8492	871
6461	819
2914	757
1299	669
19151	620
3303	584
8220	548
6453	541
12389	510
3320	482
8928	473
20485	449
3216	436
702	430
3561	409
6128	405
3491	377
8001	362
4766	351
6830	334
2516	332
286	331
12741	322
22773	300
10026	296
6762	278
9498	277
2497	265
21219	265
5617	265
31133	259
1785	257
8246	256
4755	255
8708	253
9318	247
3786	245
8359	243
1273	235
5413	226
12874	224
8218	211
3292	210
852	205
6539	196
20115	195
4230	194
9121	193
7385	186
4436	184
16735	183
812	180
293	180
4637	176
8732	172
3267	165
4635	164
25973	164
6517	163
18881	161
3255	161
577	160
2856	159
9050	155
18101	154
7474	153
13237	151
20562	151
1221	149
13789	145
24785	144
7922	144
15290	143
5400	142
703	141
8551	138
27064	137
7473	135
9304	135
8881	134
2854	133
1680	133
20804	128
8866	126
5606	125
7132	125
5511	124
21011	123
15412	122
21127	121
3209	120
8167	120
11164	118
12301	117
8447	117
15694	116
12968	116
4713	114
3269	114
1267	114
7029	114
4826	114
6327	113
23520	112
8717	111
12956	108
6854	108
5541	106
13768	106
5603	105
35320	104
10796	104
7713	103
5089	102
4657	102
5483	101
2152	101
3215	100
4725	99
6663	99
46887	98
6730	97
34224	96
24724	96
2764	95
15557	94
12182	94
3352	94
12880	92
39737	91
34984	89
10429	88
17379	88
8342	87
7303	87
2907	86
20960	86
9116	85
10913	83
39792	83
26554	83
16657	82
1257	82
8744	82
22822	82
11537	82
14717	82
19024	81
12552	81
29791	80
2686	80
8308	80
29076	80
10223	79
12989	79
11670	78
10910	78
8641	77
24130	76
8400	76
30890	76
4775	76
11664	76
8151	74
20632	74
4134	74
10310	74
9355	73
4788	72
9505	71
25577	71
17494	70
22561	70
3741	69
26615	69
2603	68
38809	68
6908	68
7738	68
13249	67
9299	67
9070	67
39326	67
5580	67
45147	66
28745	66
20940	65
11404	65
6181	65
10912	65
9848	65
8455	65
15830	65
12670	65
17806	65
4847	65
18302	65
19855	64
9119	64
12695	64
1668	64
6648	64
4589	63
11351	63
28917	63
48850	63
18403	63
19092	62
16150	62
50928	62
23148	62
30781	62
12578	62
7470	61
33363	61
5462	61
5713	61
3758	61
27506	61
45820	61
15772	60
8767	60
6910	60
4181	60
39912	60
11427	59
13407	59
34779	59
12530	59
43975	59
12883	59
16338	58
23947	58
20965	58
16285	58
8402	58
12310	58
20676	58
19108	58
2119	57
13385	57
8121	57
29208	57
6389	57
14745	56
8437	56
20764	56
7575	55
39386	55
8470	55
49895	55
17054	55
11686	55
4739	54
29113	53
12615	53
11172	53
6503	53
1764	53
4808	53
23005	53
17819	52
16397	52
