[07:42:44,743] WARN  {VodConfig} java.lang.NullPointerException
[00:00:00,000] WARN  {Croupier} Trying to add myself to self: 9416
[00:00:00,000] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:00,000] WARN  {Croupier} Trying to add myself to self: 2066
[00:00:00,000] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:00,100] WARN  {Croupier} Trying to add myself to self: 8559
[00:00:00,100] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:01,100] WARN  {Croupier} Trying to add myself to self: 8327
[00:00:01,100] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:01,200] WARN  {Croupier} Trying to add myself to self: 3034
[00:00:01,200] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,200] WARN  {Croupier} Trying to add myself to self: 6894
[00:00:02,200] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,205] WARN  {Croupier} Trying to add myself to self: 454
[00:00:02,205] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,205] WARN  {Croupier} Trying to add myself to self: 5146
[00:00:02,205] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,220] WARN  {Croupier} Trying to add myself to self: 671
[00:00:02,220] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,224] WARN  {Croupier} Trying to add myself to self: 9360
[00:00:02,224] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,229] WARN  {Croupier} Trying to add myself to self: 808
[00:00:02,229] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,239] WARN  {Croupier} Trying to add myself to self: 4021
[00:00:02,239] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,254] WARN  {Croupier} Trying to add myself to self: 8262
[00:00:02,254] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,271] WARN  {Croupier} Trying to add myself to self: 7679
[00:00:02,271] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,296] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,296] WARN  {ParentMaker} PM(7374) No better RTTS availabile 
[00:00:02,305] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,305] WARN  {ParentMaker} PM(5154) No better RTTS availabile 
[00:00:02,318] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,318] WARN  {ParentMaker} PM(254) No better RTTS availabile 
[00:00:02,323] WARN  {Croupier} Trying to add myself to self: 8267
[00:00:02,323] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
[00:00:02,335] WARN  {UpnpComponent} java.lang.RuntimeException: You cannot start threads in reproducible simulation mode.
